Extension (m),Force (N)
-5.528951e-06,-1.3214641e-08
-5.528759e-06,-1.321346e-08
-5.5285677e-06,-1.3217506e-08
-5.5283763e-06,-1.3224454e-08
-5.5281844e-06,-1.3229082e-08
-5.5279916e-06,-1.3231232e-08
-5.5277983e-06,-1.3229831e-08
-5.5276028e-06,-1.32252405e-08
-5.5274054e-06,-1.3223051e-08
-5.527205e-06,-1.3224521e-08
-5.527002e-06,-1.32248035e-08
-5.5267965e-06,-1.3221777e-08
-5.5265887e-06,-1.32188225e-08
-5.52638e-06,-1.3218219e-08
-5.5261703e-06,-1.3218654e-08
-5.5259598e-06,-1.3218442e-08
-5.525749e-06,-1.3217549e-08
-5.5255387e-06,-1.3215324e-08
-5.525328e-06,-1.3213007e-08
-5.525118e-06,-1.3214312e-08
-5.524909e-06,-1.3216565e-08
-5.524701e-06,-1.3217399e-08
-5.524495e-06,-1.3219375e-08
-5.5242904e-06,-1.3223357e-08
-5.5240876e-06,-1.3225743e-08
-5.5238866e-06,-1.3224114e-08
-5.5236865e-06,-1.3220754e-08
-5.523487e-06,-1.3219992e-08
-5.5232877e-06,-1.32218805e-08
-5.5230876e-06,-1.3223441e-08
-5.5228866e-06,-1.3222046e-08
-5.522684e-06,-1.3219391e-08
-5.5224805e-06,-1.3217793e-08
-5.522275e-06,-1.3216396e-08
-5.522068e-06,-1.32156845e-08
-5.5218593e-06,-1.3215601e-08
-5.5216497e-06,-1.3215806e-08
-5.521438e-06,-1.32163125e-08
-5.5212263e-06,-1.3217515e-08
-5.521013e-06,-1.3216966e-08
-5.5207997e-06,-1.321362e-08
-5.5205865e-06,-1.3212003e-08
-5.520373e-06,-1.3214221e-08
-5.5201604e-06,-1.3218098e-08
-5.519948e-06,-1.322044e-08
-5.5197365e-06,-1.3220817e-08
-5.5195264e-06,-1.3220954e-08
-5.519318e-06,-1.3221654e-08
-5.5191117e-06,-1.3221096e-08
-5.518909e-06,-1.32188696e-08
-5.518709e-06,-1.3217748e-08
-5.5185124e-06,-1.3219409e-08
-5.518319e-06,-1.32205065e-08
-5.5181295e-06,-1.3217557e-08
-5.517942e-06,-1.32146925e-08
-5.517757e-06,-1.3216927e-08
-5.517574e-06,-1.3221702e-08
-5.517393e-06,-1.322238e-08
-5.517214e-06,-1.32189655e-08
-5.5170353e-06,-1.3217814e-08
-5.5168566e-06,-1.3220702e-08
-5.5166774e-06,-1.322424e-08
-5.5164965e-06,-1.3225695e-08
-5.516313e-06,-1.3225814e-08
-5.516127e-06,-1.32251445e-08
-5.515939e-06,-1.3224603e-08
-5.515748e-06,-1.3225565e-08
-5.515554e-06,-1.322771e-08
-5.5153578e-06,-1.3229215e-08
-5.515159e-06,-1.3231498e-08
-5.514959e-06,-1.3233697e-08
-5.5147575e-06,-1.32321825e-08
-5.5145556e-06,-1.3227456e-08
-5.5143532e-06,-1.3223837e-08
-5.514152e-06,-1.3224812e-08
-5.51395e-06,-1.3229286e-08
-5.513749e-06,-1.3232092e-08
-5.5135483e-06,-1.3229839e-08
-5.5133473e-06,-1.322415e-08
-5.5131463e-06,-1.3219448e-08
-5.512944e-06,-1.3217813e-08
-5.512741e-06,-1.3218708e-08
-5.5125374e-06,-1.3218802e-08
-5.5123332e-06,-1.3217744e-08
-5.512129e-06,-1.3218225e-08
-5.511925e-06,-1.3220966e-08
-5.5117216e-06,-1.3222723e-08
-5.511519e-06,-1.3222213e-08
-5.511316e-06,-1.3220762e-08
-5.5111127e-06,-1.3220112e-08
-5.510909e-06,-1.3221208e-08
-5.510705e-06,-1.3224597e-08
-5.5104992e-06,-1.3228453e-08
-5.510293e-06,-1.3230657e-08
-5.510086e-06,-1.3230842e-08
-5.5098785e-06,-1.3229993e-08
-5.5096716e-06,-1.3228506e-08
-5.509465e-06,-1.3224889e-08
-5.509259e-06,-1.3220018e-08
-5.5090536e-06,-1.32179885e-08
-5.5088485e-06,-1.3219285e-08
-5.5086434e-06,-1.3220845e-08
-5.508439e-06,-1.3221134e-08
-5.508233e-06,-1.3218303e-08
-5.5080263e-06,-1.3211623e-08
-5.507818e-06,-1.3205273e-08
-5.507608e-06,-1.3203476e-08
-5.507396e-06,-1.3205955e-08
-5.507183e-06,-1.3210945e-08
-5.506968e-06,-1.3216141e-08
-5.506754e-06,-1.3221897e-08
-5.506541e-06,-1.3226262e-08
-5.50633e-06,-1.322601e-08
-5.5061223e-06,-1.32241205e-08
-5.505918e-06,-1.3223937e-08
-5.5057176e-06,-1.3223517e-08
-5.5055207e-06,-1.322224e-08
-5.5053265e-06,-1.3221021e-08
-5.505135e-06,-1.32208715e-08
-5.504946e-06,-1.3222265e-08
-5.5047585e-06,-1.3222712e-08
-5.504573e-06,-1.32227935e-08
